
****************************************

  MemTrackerLog 

       Nov 15 2024  
       01:56:46  

****************************************

External Libs: 

Leak(391)  8 bytes ref:1438 
Leak(392)  8 bytes ref:1439 
Leak(393)  8 bytes ref:1440 
Leak(394)  8 bytes ref:1441 
Leak(395)  8 bytes ref:1442 
Leak(396)  8 bytes ref:1443 
Leak(397)  8 bytes ref:1444 
Leak(398)  8 bytes ref:1445 
Leak(399)  8 bytes ref:1446 
Leak(400)  8 bytes ref:1447 
Leak(401)  8 bytes ref:1448 
Leak(402)  8 bytes ref:1449 
Leak(403)  8 bytes ref:1450 
Leak(404)  8 bytes ref:1451 
Leak(405)  8 bytes ref:1452 
Leak(406)  8 bytes ref:1453 
Leak(407)  8 bytes ref:1454 
Leak(408)  8 bytes ref:1455 
Leak(409)  8 bytes ref:1456 
Leak(410)  8 bytes ref:1457 
Leak(411)  8 bytes ref:1458 
Leak(412)  8 bytes ref:1459 
Leak(413)  8 bytes ref:1460 
Leak(414)  8 bytes ref:1461 
Leak(415)  8 bytes ref:1462 
Leak(416)  8 bytes ref:1463 
Leak(417)  8 bytes ref:1464 
Leak(418)  8 bytes ref:1465 
Leak(419)  8 bytes ref:1466 
Leak(420)  8 bytes ref:1467 
Leak(421)  8 bytes ref:1468 
Leak(422)  8 bytes ref:1469 
Leak(423)  8 bytes ref:1470 
Leak(424)  8 bytes ref:1471 
Leak(425)  8 bytes ref:1472 
Leak(426)  8 bytes ref:1473 
Leak(427)  8 bytes ref:1474 
Leak(428)  8 bytes ref:1475 
Leak(429)  8 bytes ref:1476 
Leak(430)  8 bytes ref:1477 
Leak(431)  8 bytes ref:1478 
Leak(432)  8 bytes ref:1479 
Leak(433)  8 bytes ref:1480 
Leak(434)  8 bytes ref:1481 
Leak(435)  8 bytes ref:1482 
Leak(436)  8 bytes ref:1483 
Leak(437)  8 bytes ref:1484 
Leak(438)  8 bytes ref:1485 
Leak(439)  8 bytes ref:1486 
Leak(440)  8 bytes ref:1487 
Leak(441)  8 bytes ref:1488 
Leak(442)  8 bytes ref:1489 
Leak(443)  8 bytes ref:1490 
Leak(444)  32 bytes ref:1492 
Leak(445)  8 bytes ref:1493 
Leak(446)  48 bytes ref:1495 
Leak(447)  8 bytes ref:1496 
Leak(448)  48 bytes ref:1498 
Leak(449)  8 bytes ref:1499 
Leak(450)  32 bytes ref:1501 
Leak(451)  8 bytes ref:1502 
Leak(452)  32 bytes ref:1504 
Leak(453)  8 bytes ref:1505 
Leak(454)  48 bytes ref:1507 
Leak(455)  8 bytes ref:1508 
Leak(456)  32 bytes ref:1510 
Leak(457)  8 bytes ref:1511 
Leak(458)  32 bytes ref:1513 
Leak(459)  8 bytes ref:1514 
Leak(460)  48 bytes ref:1516 
Leak(461)  8 bytes ref:1517 
Leak(462)  32 bytes ref:1519 
Leak(463)  8 bytes ref:1520 
Leak(464)  8 bytes ref:1522 
Leak(465)  8 bytes ref:1524 
Leak(466)  32 bytes ref:1526 
Leak(467)  8 bytes ref:1527 
Leak(468)  48 bytes ref:1529 
Leak(469)  8 bytes ref:1530 
Leak(470)  32 bytes ref:1532 
Leak(471)  8 bytes ref:1533 
Leak(472)  32 bytes ref:1535 
Leak(473)  8 bytes ref:1536 
Leak(474)  48 bytes ref:1538 
Leak(475)  8 bytes ref:1539 
Leak(476)  32 bytes ref:1541 
Leak(477)  8 bytes ref:1542 
Leak(478)  32 bytes ref:1544 
Leak(479)  8 bytes ref:1545 
Leak(480)  48 bytes ref:1547 
Leak(481)  8 bytes ref:1548 
Leak(482)  32 bytes ref:1550 
Leak(483)  8 bytes ref:1551 
Leak(484)  48 bytes ref:1553 
Leak(485)  8 bytes ref:1554 
Leak(486)  32 bytes ref:1556 
Leak(487)  8 bytes ref:1557 
Leak(488)  32 bytes ref:1559 
Leak(489)  8 bytes ref:1560 
Leak(490)  32 bytes ref:1562 
Leak(491)  8 bytes ref:1563 
Leak(492)  32 bytes ref:1565 
Leak(493)  8 bytes ref:1566 
Leak(494)  32 bytes ref:1568 
Leak(495)  8 bytes ref:1569 
Leak(496)  32 bytes ref:1571 
Leak(497)  8 bytes ref:1572 
Leak(498)  32 bytes ref:1574 
Leak(499)  8 bytes ref:1575 
Leak(500)  32 bytes ref:1577 
Leak(501)  8 bytes ref:1578 
Leak(502)  32 bytes ref:1580 
Leak(503)  8 bytes ref:1581 
Leak(504)  32 bytes ref:1583 
Leak(505)  8 bytes ref:1584 
Leak(506)  32 bytes ref:1586 
Leak(507)  8 bytes ref:1587 
Leak(508)  32 bytes ref:1589 
Leak(509)  8 bytes ref:1590 
Leak(510)  8 bytes ref:1618 
Leak(511)  64 bytes ref:1619 
Leak(512)  8 bytes ref:1620 
Leak(513)  64 bytes ref:1621 
Leak(514)  8 bytes ref:1622 
Leak(515)  64 bytes ref:1623 
Leak(516)  8 bytes ref:1624 
Leak(517)  64 bytes ref:1625 
Leak(518)  8 bytes ref:1626 
Leak(519)  64 bytes ref:1627 
Leak(520)  8 bytes ref:1628 
Leak(521)  64 bytes ref:1629 
Leak(522)  8 bytes ref:1630 
Leak(523)  64 bytes ref:1631 
Leak(524)  8 bytes ref:1632 
Leak(525)  64 bytes ref:1633 
Leak(526)  8 bytes ref:1634 
Leak(527)  64 bytes ref:1635 
Leak(528)  8 bytes ref:1636 
Leak(529)  64 bytes ref:1637 
Leak(530)  8 bytes ref:1638 
Leak(531)  64 bytes ref:1639 
Leak(532)  8 bytes ref:1640 
Leak(533)  64 bytes ref:1641 
Leak(534)  8 bytes ref:1642 
Leak(535)  64 bytes ref:1643 
Leak(536)  8 bytes ref:1644 
Leak(537)  64 bytes ref:1645 
Leak(538)  8 bytes ref:1646 
Leak(539)  64 bytes ref:1647 
Leak(540)  8 bytes ref:1648 
Leak(541)  64 bytes ref:1649 
Leak(542)  24 bytes ref:1706 
Leak(543)  32 bytes ref:10214 
Leak(544)  64 bytes ref:10386 

Memory Tracking Stats:

     Application files: 
                num of leaks: 0 
          total bytes leaked: 0 

     External Libs: 
                num of leaks: 545 
          total bytes leaked: 20659 
          largest individual: Leak(231) size: 8887 

CRT Debug Stats: 

    0 bytes in 0 Free Blocks 
    20659 bytes in 545 Normal Blocks 
    40437 bytes in 150 CRT Blocks 
    0 bytes in 0 Ignore Blocks 
    0 bytes in 0 Client Blocks 
